"","FIPSCode","total_votes_2016","transmitted","mail_ballots_submitted","mail_ballots_counted","JurisdictionName","rejected","State","pr2","pr3","jurisdiction","unemp_pop_16plus_percentage","below_pov_past12_percentage","households","median_household_income","total_pop","pop_16","white_count","white_percentage","nonwhite_count","nonwhite_percentage","hispanic_count","hispanic_percentage","black_count","black_percentage","native_count","native_percentage","asian_count","asian_percentage","pac_count","pac_percentage","voting_age"
"14",1027,6641,407,367,358,"CLAY COUNTY",N/A,"AL",0.901719901719902,N/A,"Clay County, Alabama","54.6","14.8","5236","41225",13378,10849.558,10740,80.3,2638,19.7,415,3.1,1971,14.7,119,0.9,18,0.1,0,0,10559
"15",1029,6645,338,320,262,"CLEBURNE COUNTY",N/A,"AL",0.946745562130177,N/A,"Cleburne County, Alabama","51.6","12","5726","40188",14938,11845.834,13839,92.6,1099,7.40000000000001,362,2.4,393,2.6,39,0.3,3,0,0,0,11500
"16",1031,21084,929,819,1114,"COFFEE COUNTY",N/A,"AL",0.881593110871905,N/A,"Coffee County, Alabama","59.8","11.6","19789","53155",51288,40517.52,36223,70.6,15065,29.4,3549,6.9,8746,17.1,581,1.1,666,1.3,0,0,39127
"17",1033,25074,1188,1109,945,"COLBERT COUNTY",N/A,"AL",0.933501683501683,N/A,"Colbert County, Alabama","53.9","12.6","21799","47558",54495,44304.435,42865,78.7,11630,21.3,1349,2.5,8561,15.7,367,0.7,244,0.4,29,0.1,42887
"18",1035,6640,365,331,324,"CONECUH COUNTY",N/A,"AL",0.906849315068493,N/A,"Conecuh County, Alabama","43.3","17.4","4574","33177",12514,10148.854,6274,50.1,6240,49.9,105,0.8,5961,47.6,56,0.4,18,0.1,0,0,9863
"19",1037,5288,179,170,170,"COOSA COUNTY",N/A,"AL",0.949720670391061,N/A,"Coosa County, Alabama","47.3","8.7","4103","38301",10855,9226.75,7084,65.3,3771,34.7,50,0.5,3713,34.2,8,0.1,0,0,0,0,9005
"20",1039,16066,829,739,732,"COVINGTON COUNTY",N/A,"AL",0.891435464414958,N/A,"Covington County, Alabama","54.3","13.8","15008","40601",37351,30104.906,31146,83.4,6205,16.6,604,1.6,4790,12.8,58,0.2,144,0.4,13,0,29161
"21",1041,6309,226,200,206,"CRENSHAW COUNTY",N/A,"AL",0.884955752212389,N/A,"Crenshaw County, Alabama","54.1","10.3","5025","39812",13865,11105.865,9869,71.2,3996,28.8,275,2,3147,22.7,106,0.8,188,1.4,0,0,10749
"22",1043,38088,1389,1296,1316,"CULLMAN COUNTY",N/A,"AL",0.93304535637149,N/A,"Cullman County, Alabama","53.1","11.7","30730","42558",82313,65850.4,75826,92.1,6487,7.90000000000001,3543,4.3,954,1.2,348,0.4,334,0.4,0,0,63741
"23",1045,18849,844,794,828,"DALE COUNTY",N/A,"AL",0.940758293838863,N/A,"Dale County, Alabama","56.7","13.5","18670","45960",49255,39009.96,34005,69,15250,31,3070,6.2,9611,19.5,300,0.6,533,1.1,4,0,37749
"24",1047,18921,972,855,857,"DALLAS COUNTY",N/A,"AL",0.87962962962963,N/A,"Dallas County, Alabama","51.6","24.8","16336","31602",40029,31382.736,11024,27.5,29005,72.5,412,1,28119,70.2,10,0,224,0.6,4,0,30249
"25",1049,26038,1104,1011,935,"DEKALB COUNTY",N/A,"AL",0.915760869565217,N/A,"DeKalb County, Alabama","53.6","17","26132","39233",71200,55963.2,57441,80.7,13759,19.3,10220,14.4,979,1.4,910,1.3,140,0.2,99,0.1,53720
"26",1051,37454,1518,1364,1384,"ELMORE COUNTY",N/A,"AL",0.898550724637681,N/A,"Elmore County, Alabama","56","9.8","29143","59347",81212,65213.236,59471,73.2,21741,26.8,2347,2.9,17148,21.1,186,0.2,392,0.5,0,0,62973
"27",1053,14962,672,603,560,"ESCAMBIA COUNTY",N/A,"AL",0.897321428571429,N/A,"Escambia County, Alabama","47","17.9","13428","35000",37328,29974.384,22480,60.2,14848,39.8,838,2.2,11912,31.9,1435,3.8,135,0.4,72,0.2,29000
"28",1055,44456,1688,1566,1556,"ETOWAH COUNTY",N/A,"AL",0.927725118483412,N/A,"Etowah County, Alabama","54.4","13.4","38777","44023",102939,83380.59,80374,78.1,22565,21.9,3880,3.8,15816,15.4,424,0.4,739,0.7,66,0.1,80658
"29",1057,8302,283,257,243,"FAYETTE COUNTY",N/A,"AL",0.908127208480565,N/A,"Fayette County, Alabama","51","15","6947","37458",16585,13483.605,14042,84.7,2543,15.3,285,1.7,1858,11.2,0,0,108,0.7,6,0,13023
"30",1059,12207,585,547,973,"FRANKLIN COUNTY",N/A,"AL",0.935042735042735,N/A,"Franklin County, Alabama","55.7","14.8","11210","40459",31542,24602.76,24313,77.1,7229,22.9,5333,16.9,1338,4.2,159,0.5,119,0.4,0,0,23736
"31",1061,11788,412,376,382,"GENEVA COUNTY",N/A,"AL",0.912621359223301,N/A,"Geneva County, Alabama","51.8","17.8","10479","38142",26491,21378.237,22235,83.9,4256,16.1,1027,3.9,2468,9.3,191,0.7,109,0.4,4,0,20635
"32",1063,4903,296,256,250,"GREENE COUNTY",N/A,"AL",0.864864864864865,N/A,"Greene County, Alabama","39.3","33.4","2955","21804",8426,6664.966,1445,17.1,6981,82.9,143,1.7,6707,79.6,48,0.6,0,0,0,0,6564
"33",1065,7984,426,374,271,"HALE COUNTY",N/A,"AL",0.877934272300469,N/A,"Hale County, Alabama","49","20.1","5658","30571",14887,11850.052,5898,39.6,8989,60.4,130,0.9,8743,58.7,29,0.2,39,0.3,0,0,11406
"34",1067,8158,497,464,435,"HENRY COUNTY",N/A,"AL",0.933601609657948,N/A,"Henry County, Alabama","52.7","10.7","6669","48610",17124,13973.184,11805,68.9,5319,31.1,448,2.6,4727,27.6,4,0,0,0,0,0,13537
"35",1069,43975,2238,2041,3075,"HOUSTON COUNTY",N/A,"AL",0.911974977658624,N/A,"Houston County, Alabama","57.7","14","39253","45496",104352,82855.488,69826,66.9,34526,33.1,3437,3.3,27887,26.7,277,0.3,848,0.8,13,0,79966
"36",1071,21185,829,779,771,"JACKSON COUNTY",N/A,"AL",0.939686369119421,N/A,"Jackson County, Alabama","50.7","16.5","20626","39816",52094,42352.422,46537,89.3,5557,10.7,1505,2.9,1799,3.5,545,1,215,0.4,77,0.1,40935
"37",1073,305821,13112,11328,10479,"JEFFERSON COUNTY",N/A,"AL",0.863941427699817,N/A,"Jefferson County, Alabama","62.2","13.2","260924","51979",659892,525274.032,330862,50.1,329030,49.9,25048,3.8,280748,42.5,1265,0.2,10169,1.5,206,0,508234
"38",1075,7007,360,327,343,"LAMAR COUNTY",N/A,"AL",0.908333333333333,N/A,"Lamar County, Alabama","52","15.2","5974","36756",13933,11160.333,11981,86,1952,14,218,1.6,1558,11.2,0,0,0,0,0,0,10868
"39",1077,39876,2055,1897,2027,"LAUDERDALE COUNTY",N/A,"AL",0.923114355231144,N/A,"Lauderdale County, Alabama","55.8","10.5","38514","46265",92585,76104.87,78501,84.8,14084,15.2,2412,2.6,9183,9.9,417,0.5,612,0.7,61,0.1,74063
"40",1079,14941,475,446,442,"LAWRENCE COUNTY",N/A,"AL",0.938947368421053,N/A,"Lawrence County, Alabama","49.9","13.4","12811","44515",33171,26735.826,25390,76.5,7781,23.5,707,2.1,3615,10.9,1878,5.7,44,0.1,24,0.1,25939
"41",1081,59529,3597,3288,3094,"LEE COUNTY",N/A,"AL",0.914095079232694,N/A,"Lee County, Alabama","60.6","12.8","59373","48056",159287,128863.183,107395,67.4,51892,32.6,5865,3.7,36389,22.8,226,0.1,6475,4.1,0,0,125085
"42",1083,40587,2094,2094,2041,"LIMESTONE COUNTY",N/A,"AL",1,N/A,"Limestone County, Alabama","57.4","10.2","32126","56460",93052,74255.496,71554,76.9,21498,23.1,5479,5.9,12405,13.3,821,0.9,1163,1.2,0,0,71640
"43",1085,6757,290,273,250,"LOWNDES COUNTY",N/A,"AL",0.941379310344828,N/A,"Lowndes County, Alabama","48.3","23.4","4180","30833",10236,8096.676,2505,24.5,7731,75.5,70,0.7,7586,74.1,13,0.1,0,0,0,0,7906
"44",1087,9195,485,425,452,"MACON COUNTY",N/A,"AL",0.876288659793814,N/A,"Macon County, Alabama","51.7","19.8","7637","32074",19054,16062.522,2972,15.6,16082,84.4,328,1.7,15583,81.8,43,0.2,50,0.3,0,0,15643
"45",1089,164359,10266,9349,9326,"MADISON COUNTY",N/A,"AL",0.910676017923242,N/A,"Madison County, Alabama","64","9.6","145256","63417",357560,287835.8,232115,64.9,125445,35.1,17294,4.8,85293,23.9,1847,0.5,8992,2.5,307,0.1,278365
"46",1091,11063,828,701,736,"MARENGO COUNTY",N/A,"AL",0.846618357487923,N/A,"Marengo County, Alabama","46.3","13.1","7768","32809",19538,15708.552,8791,45,10747,55,115,0.6,10518,53.8,51,0.3,0,0,0,0,15070
"47",1093,13105,458,427,438,"MARION COUNTY",N/A,"AL",0.932314410480349,N/A,"Marion County, Alabama","52.2","13.1","12212","35392",29965,24331.58,27559,92,2406,8,752,2.5,1047,3.5,122,0.4,49,0.2,0,0,23649
"48",1095,35515,1229,1103,1150,"MARSHALL COUNTY",N/A,"AL",0.897477624084622,N/A,"Marshall County, Alabama","55.5","16.2","34896","42490",95145,74117.955,77297,81.2,17848,18.8,12961,13.6,2456,2.6,334,0.4,570,0.6,46,0,71491
"49",1097,173841,7154,6276,5719,"MOBILE COUNTY",N/A,"AL",0.877271456527817,N/A,"Mobile County, Alabama","56.9","15","155831","46166",414659,327995.269,236987,57.2,177672,42.8,11973,2.9,146600,35.4,2872,0.7,8117,2,62,0,316322
"50",1099,10337,476,416,360,"MONROE COUNTY",N/A,"AL",0.873949579831933,N/A,"Monroe County, Alabama","45.4","23.1","8149","30141",21512,17123.552,11689,54.3,9823,45.7,302,1.4,8774,40.8,346,1.6,120,0.6,0,0,16592
"51",1101,96381,4506,4046,3971,"MONTGOMERY COUNTY",N/A,"AL",0.897913892587661,N/A,"Montgomery County, Alabama","61.6","16.3","89835","47990",226941,179510.331,78393,34.5,148548,65.5,7749,3.4,130513,57.5,283,0.1,6059,2.7,39,0,173272
"52",1103,50964,2133,1862,1904,"MORGAN COUNTY",N/A,"AL",0.872948898265354,N/A,"Morgan County, Alabama","57.2","12.5","45646","49751",119122,94940.234,90497,76,28625,24,9691,8.1,15141,12.7,713,0.6,775,0.7,48,0,91738
"53",1105,5299,437,364,299,"PERRY COUNTY",N/A,"AL",0.832951945080092,N/A,"Perry County, Alabama","34.5","31.7","3079","23561",9486,7702.632,2798,29.5,6688,70.5,89,0.9,6569,69.2,6,0.1,21,0.2,0,0,7417
"54",1107,9598,418,359,327,"PICKENS COUNTY",N/A,"AL",0.858851674641148,N/A,"Pickens County, Alabama","47.4","17.5","7530","37458",20298,16827.042,10925,53.8,9373,46.2,932,4.6,8148,40.1,25,0.1,13,0.1,8,0,16296
"55",1109,13265,478,438,417,"PIKE COUNTY",N/A,"AL",0.916317991631799,N/A,"Pike County, Alabama","55.4","14.9","11547","34678",33403,27691.087,18765,56.2,14638,43.8,263,0.8,12661,37.9,209,0.6,715,2.1,3,0,26864
"56",1111,10276,599,557,534,"RANDOLPH COUNTY",N/A,"AL",0.929883138564274,N/A,"Randolph County, Alabama","49.8","14.3","8643","41449",22574,18217.218,16991,75.3,5583,24.7,665,2.9,4413,19.5,51,0.2,68,0.3,51,0.2,17660
"57",1113,19371,1005,942,926,"RUSSELL COUNTY",N/A,"AL",0.937313432835821,N/A,"Russell County, Alabama","58.9","15.4","22740","40978",58213,45522.566,27354,47,30859,53,3120,5.4,24787,42.6,160,0.3,451,0.8,72,0.1,43855
"58",1115,38606,1448,1338,1337,"ST. CLAIR COUNTY",N/A,"AL",0.924033149171271,N/A,"St. Clair County, Alabama","59.2","10","32172","54887",87306,69495.576,75109,86,12197,14,2089,2.4,8212,9.4,285,0.3,700,0.8,8,0,67308
"59",1117,101783,4173,3812,3832,"SHELBY COUNTY",N/A,"AL",0.913491492930745,N/A,"Shelby County, Alabama","66.2","5.1","78328","75761",211261,166684.929,165058,78.1,46203,21.9,12125,5.7,25166,11.9,468,0.2,4249,2,47,0,160650
"60",1119,6437,485,450,414,"SUMTER COUNTY",N/A,"AL",0.927835051546392,N/A,"Sumter County, Alabama","44.6","21.3","5047","23132",12985,10764.565,3201,24.7,9784,75.3,13,0.1,9345,72,8,0.1,338,2.6,0,0,10463
"61",1121,33629,1106,1001,1049,"TALLADEGA COUNTY",N/A,"AL",0.905063291139241,N/A,"Talladega County, Alabama","52.2","15.8","31407","41012",80565,65418.78,50655,62.9,29910,37.1,1818,2.3,25992,32.3,301,0.4,450,0.6,28,0,63217
"62",1123,19545,1004,857,835,"TALLAPOOSA COUNTY",N/A,"AL",0.853585657370518,N/A,"Tallapoosa County, Alabama","51","16","16448","43361",40636,33037.068,28000,68.9,12636,31.1,954,2.3,11012,27.1,130,0.3,155,0.4,0,0,32062
"63",1125,83087,3249,2870,2853,"TUSCALOOSA COUNTY",N/A,"AL",0.883348722683903,N/A,"Tuscaloosa County, Alabama","59.6","11.2","72379","52221",206213,167651.169,127767,62,78446,38,7437,3.6,65058,31.5,283,0.1,3282,1.6,73,0,163037
"64",1127,29490,880,818,576,"WALKER COUNTY",N/A,"AL",0.929545454545455,N/A,"Walker County, Alabama","52.3","14.3","25036","41748",64493,51852.372,57475,89.1,7018,10.9,1545,2.4,3954,6.1,55,0.1,309,0.5,0,0,50140
"65",1129,8609,355,326,335,"WASHINGTON COUNTY",N/A,"AL",0.91830985915493,N/A,"Washington County, Alabama","44.6","16.3","6007","40794",16643,13564.045,10835,65.1,5808,34.9,182,1.1,4086,24.6,1218,7.3,62,0.4,0,0,12940
"66",1131,6017,583,489,345,"WILCOX COUNTY",N/A,"AL",0.838765008576329,N/A,"Wilcox County, Alabama","40.1","20.9","3804","27237",10809,8571.537,2901,26.8,7908,73.2,70,0.6,7511,69.5,11,0.1,0,0,0,0,8167
"67",1133,10383,390,225,372,"WINSTON COUNTY",N/A,"AL",0.576923076923077,N/A,"Winston County, Alabama","50","12.4","9403","38504",23875,19505.875,22428,93.9,1447,6.09999999999999,734,3.1,90,0.4,93,0.4,31,0.1,9,0,18883
"68",4001,28492,18997,13260,12715,"APACHE COUNTY",545,"AZ",0.698004948149708,0.0411010558069382,"Apache County, Arizona","38.6","28.2","20395","32963",71522,54070.632,13102,18.3,58420,81.7,4445,6.2,513,0.7,52307,73.1,286,0.4,14,0,51691
"69",4003,50601,43559,34143,33615,"COCHISE COUNTY",528,"AZ",0.783833421336578,0.0154643704419647,"Cochise County, Arizona","49.5","13.2","49250","48649",126279,101402.037,69712,55.2,56567,44.8,44598,35.3,4455,3.5,1253,1,2333,1.8,420,0.3,98483
"70",4005,60744,50627,40523,40220,"COCONINO COUNTY",303,"AZ",0.800422699350149,0.00747723515040841,"Coconino County, Arizona","62.9","10.9","47276","57616",140217,114136.638,75820,54.1,64397,45.9,19666,14,1704,1.2,36365,25.9,2767,2,176,0.1,110570
"71",4007,23483,20332,16978,16946,"GILA COUNTY",32,"AZ",0.835038363171355,0.00188479208387325,"Gila County, Arizona","46.4","15.3","21708","42092",53400,43574.4,33335,62.4,20065,37.6,9992,18.7,305,0.6,8410,15.7,471,0.9,0,0,42551
"72",4009,12535,10215,7802,7779,"GRAHAM COUNTY",23,"AZ",0.763778756730299,0.00294796206101,"Graham County, Arizona","49.3","16.3","10782","51352",37879,28750.161,19286,50.9,18593,49.1,12453,32.9,683,1.8,4745,12.5,246,0.6,51,0.1,27546
"73",4011,3376,2915,2324,2310,"GREENLEE COUNTY",14,"AZ",0.797255574614065,0.00602409638554217,"Greenlee County, Arizona","57.5","9","3225","60962",9504,7128,4474,47.1,5030,52.9,4414,46.4,203,2.1,369,3.9,29,0.3,0,0,6865
"74",4012,6142,5050,3748,3721,"LA PAZ COUNTY",27,"AZ",0.742178217821782,0.00720384204909285,"La Paz County, Arizona","39.7","16.3","8912","33333",20701,17720.056,11973,57.8,8728,42.2,5614,27.1,168,0.8,2346,11.3,158,0.8,8,0,17288
"75",4013,1649961,1532341,1249932,1245795,"MARICOPA COUNTY",4137,"AZ",0.815700943849965,0.00330978005203483,"Maricopa County, Arizona","63.9","10.6","1520767","61606",4253913,3330813.879,2368876,55.7,1885037,44.3,1311091,30.8,220519,5.2,67454,1.6,172890,4.1,8337,0.2,3211668
"76",4015,81727,62270,51030,50855,"MOHAVE COUNTY",175,"AZ",0.819495744339168,0.00342935528120713,"Mohave County, Arizona","45","11.6","85485","43266",206064,173711.952,159907,77.6,46157,22.4,33481,16.2,2030,1,4344,2.1,2427,1.2,446,0.2,169180
"77",4017,42325,30505,22720,22635,"NAVAJO COUNTY",85,"AZ",0.744795935092608,0.00374119718309859,"Navajo County, Arizona","47.6","22.4","34407","40054",108705,82180.98,45073,41.5,63632,58.5,12329,11.3,788,0.7,47144,43.4,685,0.6,87,0.1,79025
"78",4019,427102,382130,321737,320867,"PIMA COUNTY",870,"AZ",0.841956925653573,0.00270407195939541,"Pima County, Arizona","58.4","12.4","400907","51037",1019722,826994.542,531149,52.1,488573,47.9,376826,37,32824,3.2,25076,2.5,28133,2.8,1374,0.1,801274
"79",4021,131628,122262,90630,89803,"PINAL COUNTY",827,"AZ",0.741276929871914,0.00912501379234249,"Pinal County, Arizona","49.1","9.9","137286","55550",419721,332419.032,239869,57.1,179852,42.9,125373,29.9,17529,4.2,17488,4.2,7075,1.7,1320,0.3,321617
"80",4023,17156,15437,10861,10488,"SANTA CRUZ COUNTY",373,"AZ",0.703569346375591,0.0343430623331185,"Santa Cruz County, Arizona","53.1","19.9","15430","40467",46584,35450.424,6928,14.9,39656,85.1,38899,83.5,100,0.2,99,0.2,392,0.8,0,0,33712
"81",4025,116053,106915,94111,91566,"YAVAPAI COUNTY",2545,"AZ",0.880241313192723,0.0270425348790258,"Yavapai County, Arizona","47.1","8.8","96007","50180",224645,191622.185,181227,80.7,43418,19.3,32461,14.4,1224,0.5,2659,1.2,2166,1,191,0.1,186874
"82",4027,71335,74508,57923,57638,"YUMA COUNTY",285,"AZ",0.777406452998336,0.00492032525939609,"Yuma County, Arizona","54.8","17.5","72463","44058",207829,160443.988,65155,31.4,142674,68.6,131670,63.4,3569,1.7,1887,0.9,2419,1.2,99,0,154558
"83",5001,6245,150,128,125,"ARKANSAS COUNTY",3,"AR",0.853333333333333,0.0234375,"Arkansas County, Arkansas","57","14.6","7682","39466",18124,14571.696,12695,70,5429,30,554,3.1,4677,25.8,18,0.1,0,0,0,0,13948
"84",5003,7512,241,214,209,"ASHLEY COUNTY",5,"AR",0.887966804979253,0.0233644859813084,"Ashley County, Arkansas","51.3","16.6","7915","39635",20537,16162.619,13976,68.1,6561,31.9,1097,5.3,5250,25.6,50,0.2,47,0.2,0,0,15756
"85",5005,19924,802,700,653,"BAXTER COUNTY",47,"AR",0.872817955112219,0.0671428571428571,"Baxter County, Arkansas","48.6","9.9","18370","41481",41219,34871.274,39112,94.9,2107,5.09999999999999,927,2.2,74,0.2,129,0.3,172,0.4,13,0,33993
"86",5007,97953,2505,2203,2031,"BENTON COUNTY",172,"AR",0.879441117764471,0.0780753517930095,"Benton County, Arkansas","65.3","7.7","94333","64141",258980,197342.76,190853,73.7,68127,26.3,42577,16.4,4236,1.6,3374,1.3,9803,3.8,1440,0.6,189692
"87",5009,16151,532,503,473,"BOONE COUNTY",30,"AR",0.945488721804511,0.0596421471172962,"Boone County, Arkansas","57","11.1","14870","43262",37288,29643.96,35060,94,2228,6,899,2.4,156,0.4,289,0.8,192,0.5,36,0.1,28775
"88",5011,3683,115,112,101,"BRADLEY COUNTY",11,"AR",0.973913043478261,0.0982142857142857,"Bradley County, Arkansas","53.3","17.3","4537","39510",10948,8594.18,6094,55.7,4854,44.3,1654,15.1,3168,28.9,0,0,0,0,0,0,8350
"89",5013,2284,85,85,85,"CALHOUN COUNTY",0,"AR",1,0,"Calhoun County, Arkansas","53.5","11.8","1936","44022",5202,4291.65,3775,72.6,1427,27.4,206,4,1107,21.3,7,0.1,0,0,10,0.2,4165
"90",5015,10886,360,330,313,"CARROLL COUNTY",17,"AR",0.916666666666667,0.0515151515151515,"Carroll County, Arkansas","55.6","9.2","11161","43505",27887,22421.148,22317,80,5570,20,4182,15,171,0.6,141,0.5,334,1.2,208,0.7,21755
"91",5017,4329,355,355,350,"CHICOT COUNTY",5,"AR",1,0.0140845070422535,"Chicot County, Arkansas","46","25","4308","33051",10826,8639.148,4222,39,6604,61,580,5.4,5856,54.1,24,0.2,43,0.4,0,0,8370
"92",5019,8593,351,313,311,"CLARK COUNTY",2,"AR",0.891737891737892,0.00638977635782748,"Clark County, Arkansas","57.9","13.3","8505","39752",22385,18624.32,15419,68.9,6966,31.1,1050,4.7,5367,24,86,0.4,156,0.7,8,0,18119
"93",5021,5311,118,118,112,"CLAY COUNTY",6,"AR",1,0.0508474576271186,"Clay County, Arkansas","54.4","16.9","6441","33935",15061,12109.044,14385,95.5,676,4.5,300,2,93,0.6,64,0.4,0,0,0,0,11745
"94",5023,12198,384,360,338,"CLEBURNE COUNTY",22,"AR",0.9375,0.0611111111111111,"Cleburne County, Arkansas","51","9.7","10731","43391",25230,21041.82,23903,94.7,1327,5.3,618,2.4,140,0.6,273,1.1,152,0.6,0,0,20431
"95",5025,3461,46,46,46,"CLEVELAND COUNTY",0,"AR",1,0,"Cleveland County, Arkansas","52","14.8","3292","42460",8226,6580.8,6959,84.6,1267,15.4,154,1.9,924,11.2,13,0.2,3,0,0,0,6364
"96",5027,810,302,283,283,"COLUMBIA COUNTY",0,"AR",0.937086092715232,0,"Columbia County, Arkansas","53.9","21.8","8962","36148",23892,19567.548,14151,59.2,9741,40.8,650,2.7,8291,34.7,82,0.3,267,1.1,0,0,18827
"97",5029,8026,386,338,307,"CONWAY COUNTY",31,"AR",0.875647668393782,0.0917159763313609,"Conway County, Arkansas","57.2","13","8475","41196",20906,16515.74,17069,81.6,3837,18.4,812,3.9,2255,10.8,64,0.3,10,0,0,0,16122
"98",5031,35949,914,839,777,"CRAIGHEAD COUNTY",62,"AR",0.917943107221007,0.0738974970202622,"Craighead County, Arkansas","63","13.1","40800","45868",105701,82446.78,81089,76.7,24612,23.3,5253,5,14567,13.8,181,0.2,1328,1.3,200,0.2,79506
"99",5033,22612,502,453,424,"CRAWFORD COUNTY",29,"AR",0.902390438247012,0.0640176600441501,"Crawford County, Arkansas","56.3","11.8","23701","46619",62472,48790.632,52838,84.6,9634,15.4,4715,7.5,867,1.4,980,1.6,1154,1.8,9,0,46986
"100",5035,16049,719,522,325,"CRITTENDEN COUNTY",197,"AR",0.726008344923505,0.377394636015326,"Crittenden County, Arkansas","60.8","17.6","18756","39002",49013,37053.828,20905,42.7,28108,57.3,1210,2.5,23706,48.4,154,0.3,352,0.7,76,0.2,35566
"101",5037,6990,281,262,217,"CROSS COUNTY",45,"AR",0.932384341637011,0.17175572519084,"Cross County, Arkansas","59.3","12.8","6694","43838",16998,13445.418,12384,72.9,4614,27.1,330,1.9,3308,19.5,24,0.1,10,0.1,0,0,12915
"102",5039,2793,47,47,44,"DALLAS COUNTY",3,"AR",1,0.0638297872340425,"Dallas County, Arkansas","51.5","10.1","3033","36628",7432,6012.488,3957,53.2,3475,46.8,229,3.1,3088,41.6,31,0.4,26,0.3,15,0.2,5736
"103",5041,4276,125,125,125,"DESHA COUNTY",0,"AR",1,0,"Desha County, Arkansas","53.8","22.9","5111","30234",11887,9212.425,5410,45.5,6477,54.5,698,5.9,5596,47.1,23,0.2,39,0.3,0,0,8833
"104",5043,6641,N/A,N/A,N/A,"DREW COUNTY",N/A,"AR",N/A,N/A,"Drew County, Arkansas","55.6","16.5","7018","43014",18502,14949.616,12336,66.7,6166,33.3,609,3.3,5321,28.8,16,0.1,43,0.2,0,0,14479
"105",5045,48488,1135,1018,934,"FAULKNER COUNTY",84,"AR",0.896916299559471,0.0825147347740668,"Faulkner County, Arkansas","62.3","10.6","44095","51930",122416,96831.056,98294,80.3,24122,19.7,4956,4,13872,11.3,402,0.3,1624,1.3,163,0.1,93690
