FIPSCode,State,transmitted,counted,rejected
807500000,CO,11798,NA,NA
807700000,CO,94903,NA,NA
807900000,CO,780,NA,NA
808100000,CO,7727,NA,NA
808300000,CO,16959,NA,NA
808500000,CO,25255,NA,NA
808700000,CO,14637,NA,NA
808900000,CO,11204,NA,NA
809100000,CO,3812,NA,NA
809300000,CO,19751,NA,NA
809500000,CO,2810,NA,NA
809700000,CO,13254,NA,NA
809900000,CO,6612,NA,NA
810100000,CO,101010,NA,NA
810300000,CO,4158,NA,NA
810500000,CO,6942,NA,NA
810700000,CO,18144,NA,NA
810900000,CO,3683,NA,NA
811100000,CO,609,NA,NA
811300000,CO,5234,NA,NA
811500000,CO,1657,NA,NA
811700000,CO,20714,NA,NA
811900000,CO,17928,NA,NA
812100000,CO,3113,NA,NA
812300000,CO,164943,NA,NA
812500000,CO,5641,NA,NA
900104720,CT,627,627,NA
900108070,CT,2345,2345,NA
900108980,CT,789,789,NA
900118500,CT,1798,1798,NA
900118850,CT,1516,1516,NA
900123890,CT,458,458,NA
900126620,CT,3093,3093,NA
900133620,CT,3850,3850,NA
900148620,CT,839,839,NA
900150580,CT,1622,1622,NA
900150860,CT,658,658,NA
900152980,CT,1586,1586,NA
900156060,CT,2676,2676,NA
900163480,CT,801,801,NA
900163970,CT,1888,1888,NA
900168170,CT,1569,1569,NA
900168310,CT,247,247,NA
900173070,CT,4851,4851,NA
900174190,CT,1551,1551,NA
900177200,CT,1841,1841,NA
900183430,CT,895,895,NA
900183500,CT,2379,2379,NA
900186370,CT,1461,1461,NA
900302060,CT,1316,1316,NA
900304300,CT,828,828,NA
900305910,CT,1223,1223,NA
900308490,CT,1601,1601,NA
900310100,CT,362,362,NA
900312270,CT,584,584,NA
900322070,CT,201,201,NA
900322630,CT,858,858,NA
900324800,CT,333,333,NA
900325990,CT,1152,1152,NA
900327600,CT,1476,1476,NA
900331240,CT,1996,1996,NA
900332640,CT,526,526,NA
900337070,CT,2319,2319,NA
900337140,CT,56,56,NA
900344700,CT,1676,1676,NA
900345820,CT,289,289,NA
900350440,CT,1121,1121,NA
900352140,CT,952,952,NA
900360120,CT,395,395,NA
900365370,CT,812,812,NA
900368940,CT,1612,1612,NA
900370550,CT,1647,1647,NA
900371390,CT,1217,1217,NA
900374540,CT,686,686,NA
900382590,CT,3924,3924,NA
900384900,CT,865,865,NA
900387000,CT,1119,1119,NA
900387070,CT,326,326,NA
900502760,CT,152,152,NA
900504930,CT,161,161,NA
900508210,CT,127,127,NA
900510940,CT,92,92,NA
900516050,CT,52,52,NA
900517240,CT,134,134,NA
900532290,CT,126,126,NA
900537280,CT,247,247,NA
900540290,CT,0,0,NA
900543370,CT,447,447,NA
900549460,CT,103,103,NA
900551350,CT,317,317,NA
900552630,CT,905,905,NA
900553470,CT,105,105,NA
900554030,CT,157,157,NA
900560750,CT,262,262,NA
900565930,CT,206,206,NA
900566420,CT,408,408,NA
900567960,CT,181,181,NA
900575730,CT,201,201,NA
900576570,CT,1004,1004,NA
900579510,CT,62,62,NA
900579720,CT,348,348,NA
900580490,CT,672,672,NA
900586440,CT,317,317,NA
900587910,CT,567,567,NA
900714300,CT,236,236,NA
900715350,CT,589,589,NA
900718080,CT,627,627,NA
900719130,CT,182,182,NA
900720810,CT,354,354,NA
900722280,CT,370,370,NA
900722490,CT,433,433,NA
900726270,CT,469,469,NA
900735230,CT,369,369,NA
900740710,CT,404,404,NA
900747080,CT,205,205,NA
900747360,CT,1545,1545,NA
900757320,CT,777,777,NA
900761800,CT,526,526,NA
900781680,CT,305,305,NA
900901220,CT,349,349,NA
900903250,CT,197,197,NA
900904580,CT,255,255,NA
900907310,CT,1329,1329,NA
900914160,CT,725,725,NA
900919550,CT,300,300,NA
900922910,CT,822,822,NA
900934950,CT,1441,1441,NA
900935650,CT,1950,1950,NA
900944560,CT,1377,1377,NA
900946520,CT,1337,1337,NA
900946940,CT,411,411,NA
900947535,CT,2037,2037,NA
900949950,CT,658,658,NA
900952070,CT,2483,2483,NA
900953890,CT,524,524,NA
900954870,CT,954,954,NA
900957600,CT,854,854,NA
900958300,CT,460,460,NA
900962290,CT,343,343,NA
900967610,CT,472,472,NA
900969640,CT,1244,1244,NA
900978740,CT,2002,2002,NA
900980070,CT,1921,1921,NA
900982870,CT,1435,1435,NA
900987560,CT,500,500,NA
900987700,CT,718,718,NA
901106820,CT,76,76,NA
901115910,CT,672,672,NA
901123400,CT,1071,1071,NA
901129910,CT,50,50,NA
901133900,CT,183,183,NA
901134250,CT,1434,1434,NA
901142390,CT,257,257,NA
901142600,CT,482,482,NA
901143230,CT,100,100,NA
901144210,CT,166,166,NA
901148900,CT,415,415,NA
901152350,CT,541,541,NA
901155500,CT,196,196,NA
901156270,CT,840,840,NA
901157040,CT,640,640,NA
901162150,CT,130,130,NA
901166210,CT,170,170,NA
901171670,CT,71,71,NA
901173770,CT,1018,1018,NA
901178600,CT,77,77,NA
901180280,CT,836,836,NA
901301080,CT,91,91,NA
901306260,CT,153,153,NA
901316400,CT,196,196,NA
901317800,CT,350,350,NA
901325360,CT,441,441,NA
901337910,CT,465,465,NA
901344910,CT,662,662,NA
901369220,CT,439,439,NA
901372090,CT,388,388,NA
901376290,CT,531,531,NA
901377830,CT,20,20,NA
901378250,CT,751,751,NA
901385950,CT,145,145,NA
901501430,CT,131,131,NA
901509190,CT,231,231,NA
901512130,CT,135,135,NA
901513810,CT,32,32,NA
901521860,CT,56,56,NA
901536000,CT,68,68,NA
901540500,CT,396,396,NA
901559980,CT,227,227,NA
901561030,CT,172,172,NA
901562710,CT,175,175,NA
901567400,CT,36,36,NA
901573420,CT,55,55,NA
901575870,CT,233,233,NA
901586790,CT,442,442,NA
901588190,CT,380,380,NA
1100100000,DC,21362,16592,33
1000100000,DE,2132,1838,28
1000300000,DE,8324,7142,155
1000500000,DE,5468,4829,33
1200100000,FL,34775,27399,384
1200300000,FL,2222,1963,1
1200500000,FL,21082,16771,148
1200700000,FL,2840,2389,13
1200900000,FL,116377,88624,375
1201100000,FL,283339,198705,2857
1201300000,FL,1130,999,20
1201500000,FL,40628,34506,141
1201700000,FL,29165,24479,90
1201900000,FL,22872,18203,38
1202100000,FL,69057,55537,401
1202300000,FL,6620,5650,48
1202700000,FL,2653,2180,1
1202900000,FL,2167,1904,13
1203100000,FL,97940,69742,822
1203300000,FL,40750,33546,229
1203500000,FL,16062,13096,85
1203700000,FL,2282,1486,3
1203900000,FL,5355,4217,26
1204100000,FL,2059,1832,7
1204300000,FL,955,831,0
1204500000,FL,1657,1380,16
1204700000,FL,1570,1333,1
1204900000,FL,1094,833,5
1205100000,FL,2225,1809,7
1205300000,FL,41081,33970,92
1205500000,FL,13083,10932,41
1205700000,FL,241719,185301,1089
1205900000,FL,2345,1986,17
1206100000,FL,28442,22557,130
1206300000,FL,4745,4036,10
1206500000,FL,1535,1283,11
1206700000,FL,678,591,4
1206900000,FL,40172,31711,218
1207100000,FL,187502,155674,898
1207300000,FL,37678,30101,118
1207500000,FL,6134,5119,33
1207700000,FL,583,495,4
1207900000,FL,1461,1188,25
1208100000,FL,81760,67725,326
1208300000,FL,44721,37268,83
1208500000,FL,37211,29863,54
1208600000,FL,411809,299972,5633
1208700000,FL,17215,13454,89
1208900000,FL,12523,9640,55
1209100000,FL,21910,17718,128
1209300000,FL,2989,2501,25
1209500000,FL,221425,155071,1917
1209700000,FL,60060,44566,313
1209900000,FL,192132,152226,1752
1210100000,FL,82662,66755,347
1210300000,FL,311492,250951,483
1210500000,FL,97013,78548,357
1210700000,FL,7853,6378,48
1210900000,FL,32238,25939,43
1211100000,FL,50507,40367,288
1211300000,FL,18372,14831,147
1211500000,FL,85037,75542,167
1211700000,FL,79043,61122,482
1211900000,FL,22628,19483,60
1212100000,FL,5065,4275,29
1212300000,FL,2248,1951,35
1212500000,FL,1152,NA,NA
1212700000,FL,94153,73318,623
1212900000,FL,3595,3073,10
1213100000,FL,8007,6675,59
1213300000,FL,3076,2491,18
1300100000,GA,623,530,28
1300300000,GA,96,88,6
1300500000,GA,216,162,24
1300700000,GA,180,150,4
1300900000,GA,1453,1076,173
1301100000,GA,252,232,9
1301300000,GA,1336,1160,67
1301500000,GA,1760,1468,280
1301700000,GA,275,238,4
1301900000,GA,415,362,11
1302100000,GA,4363,3665,189
1302300000,GA,280,244,11
1302500000,GA,273,246,8
1302700000,GA,810,633,65
1302900000,GA,549,428,62
1303100000,GA,1208,1026,61
1303300000,GA,1046,922,17
1303500000,GA,320,271,26
1303700000,GA,185,148,10
1303900000,GA,1192,1016,62
1304300000,GA,160,134,10
1304500000,GA,1612,1402,54
1304700000,GA,738,658,42
1304900000,GA,246,213,14
1305100000,GA,6038,4780,470
1305300000,GA,66,48,2
1305500000,GA,269,231,17
1305700000,GA,5992,5248,346
1305900000,GA,2836,2513,118
1306100000,GA,152,102,33
1306300000,GA,3786,2882,278
1306500000,GA,137,86,33
1306700000,GA,26561,23047,1522
1306900000,GA,584,453,37
1307100000,GA,514,441,21
1307300000,GA,3324,2892,159
1307500000,GA,244,223,0
1307700000,GA,3178,2830,142
1307900000,GA,272,253,9
1308100000,GA,392,336,20
1308300000,GA,183,162,4
1308500000,GA,582,529,17
1308700000,GA,607,514,50
1308900000,GA,17714,15063,858
1309100000,GA,382,339,4
1309300000,GA,182,88,4
1309500000,GA,1960,1562,185
1309700000,GA,2662,2325,103
1309900000,GA,427,350,42
1310100000,GA,44,41,1
1310300000,GA,736,623,43
1310500000,GA,530,479,16
1310700000,GA,415,337,37
1310900000,GA,203,187,5
1311100000,GA,961,839,46
1311300000,GA,3267,2758,224
1311500000,GA,1507,1322,29
1311700000,GA,4326,3826,247
1311900000,GA,462,411,13
1312100000,GA,26128,20699,926
1312300000,GA,713,653,27
1312500000,GA,84,71,2
1312700000,GA,2043,1503,279
1312900000,GA,648,578,15
1313100000,GA,347,293,52
1313300000,GA,818,651,94
1313500000,GA,22570,18095,2059
1313700000,GA,1029,952,26
1313900000,GA,3929,3564,161
1314100000,GA,514,370,60
1314300000,GA,484,454,3
1314500000,GA,734,659,22
1314700000,GA,535,487,21
1314900000,GA,312,272,12
1315100000,GA,3915,3358,149
1315300000,GA,2704,2384,138
1315500000,GA,134,119,3
1315700000,GA,896,819,26
1315900000,GA,403,374,6
1316100000,GA,227,206,9
1316300000,GA,565,496,29
1316500000,GA,206,178,13
1316700000,GA,335,268,8
1316900000,GA,785,720,16
1317100000,GA,388,350,16
1317300000,GA,77,62,4
1317500000,GA,1279,1123,60
1317700000,GA,553,470,16
1317900000,GA,671,478,40
1318100000,GA,429,386,15
1318300000,GA,103,79,3
1318500000,GA,1766,1284,211
1318700000,GA,605,525,59
1318900000,GA,640,574,10
1319100000,GA,813,602,48
1319300000,GA,296,248,17
1319500000,GA,544,496,44
1319700000,GA,332,260,35
1319900000,GA,453,397,27
1320100000,GA,159,150,2
1320500000,GA,677,570,35
1320700000,GA,626,556,30
1320900000,GA,140,125,1
1321100000,GA,408,373,35
1321300000,GA,468,360,4
1321500000,GA,4427,3628,227
1321700000,GA,2240,1961,85
1321900000,GA,962,847,108
1322100000,GA,381,366,4
1322300000,GA,3471,3055,209
1322500000,GA,468,363,41
1322700000,GA,353,262,60
1322900000,GA,385,350,10
1323100000,GA,379,351,7
1323300000,GA,517,462,48
1323500000,GA,243,203,9
1323700000,GA,797,596,153
1323900000,GA,58,55,0
1324100000,GA,1009,904,51
1324300000,GA,203,186,2
1324500000,GA,4844,4228,139
1324700000,GA,1685,1387,75
1324900000,GA,97,86,4
1325100000,GA,204,183,2
1325300000,GA,189,168,0
1325500000,GA,1312,1046,134
1325700000,GA,692,616,19
1325900000,GA,422,355,23
1326100000,GA,951,715,135
1326300000,GA,633,547,15
1326500000,GA,125,104,7
1326700000,GA,673,558,52
1326900000,GA,359,291,22
1327100000,GA,449,338,105
1327300000,GA,338,261,51
1327500000,GA,962,827,54
1327700000,GA,630,532,32
1327900000,GA,720,607,52
1328100000,GA,436,408,9
1328300000,GA,182,172,2
1328500000,GA,1430,1227,65
1328700000,GA,90,84,2
1328900000,GA,401,324,36
1329100000,GA,677,633,16
1329300000,GA,510,458,18
1329500000,GA,1096,962,53
1329700000,GA,1942,1682,118
1329900000,GA,670,563,22
1330100000,GA,160,136,8
1330300000,GA,814,708,17
1330500000,GA,461,395,16
1330700000,GA,134,128,0
1330900000,GA,194,133,12
1331100000,GA,665,599,17
1331300000,GA,1345,1160,44
1331500000,GA,238,212,25
1331700000,GA,203,183,6
1331900000,GA,227,201,11
1332100000,GA,304,267,5
6600000000,GU,1634,1508,NA
1500100000,HI,27863,29049,240
1500300000,HI,153368,128422,926
1500500000,HI,NA,NA,NA
1500700000,HI,12223,10396,116
1500900000,HI,25033,21358,NA
1900100000,IA,1475,1447,NA
1900300000,IA,979,966,NA
1900500000,IA,3140,3070,NA
1900700000,IA,2373,2303,NA
1900900000,IA,1514,1501,NA
1901100000,IA,4354,4246,NA
1901300000,IA,27959,26649,NA
1901500000,IA,6805,6636,NA
1901700000,IA,5656,5503,NA
1901900000,IA,3870,3730,NA
1902100000,IA,3130,2968,NA
1902300000,IA,2608,2557,NA
1902500000,IA,1734,1701,NA
1902700000,IA,4104,3931,NA
1902900000,IA,2619,2585,NA
1903100000,IA,3610,3462,NA
1903300000,IA,9525,9276,NA
1903500000,IA,2723,2688,NA
1903700000,IA,2994,2920,NA
1903900000,IA,1774,1742,NA
1904100000,IA,4016,3923,NA
1904300000,IA,3284,3200,NA
1904500000,IA,11149,10816,NA
1904700000,IA,2829,2777,NA
1904900000,IA,18887,18307,NA
1905100000,IA,1533,1512,NA
1905300000,IA,1221,1185,NA
1905500000,IA,3489,3436,NA
1905700000,IA,9329,8971,NA
1905900000,IA,5336,5263,NA
1906100000,IA,23726,22650,NA
1906300000,IA,1571,1525,NA
1906500000,IA,3751,3604,NA
1906700000,IA,3596,3484,NA
1906900000,IA,1733,1703,NA
1907100000,IA,1184,1126,NA
1907300000,IA,1947,1918,NA
1907500000,IA,2158,2088,NA
1907700000,IA,2122,2039,NA
1907900000,IA,3207,3129,NA
1908100000,IA,1802,1769,NA
1908300000,IA,3517,3458,NA
1908500000,IA,2201,2149,NA
1908700000,IA,4556,4431,NA
1908900000,IA,1706,1645,NA
1909100000,IA,1970,1932,NA
1909300000,IA,1076,1060,NA
1909500000,IA,3063,2985,NA
1909700000,IA,4512,4308,NA
1909900000,IA,8375,8151,NA
1910100000,IA,4289,4212,NA
1910300000,IA,42441,41132,NA
1910500000,IA,3709,3653,NA
1910700000,IA,1527,1488,NA
1910900000,IA,3545,3451,NA
1911100000,IA,7701,7471,NA
1911300000,IA,45266,42862,NA
1911500000,IA,1942,1868,NA
1911700000,IA,1830,1793,NA
1911900000,IA,1984,1943,NA
1912100000,IA,3730,3618,NA
1912300000,IA,4937,4829,NA
1912500000,IA,8254,8017,NA
1912700000,IA,9292,8937,NA
1912900000,IA,3409,3350,NA
1913100000,IA,2224,2074,NA
1913300000,IA,1521,1456,NA
1913500000,IA,1627,1586,NA
1913700000,IA,1824,1775,NA
1913900000,IA,9364,8858,NA
1914100000,IA,2167,2095,NA
1914300000,IA,861,837,NA
1914500000,IA,2761,2655,NA
1914700000,IA,2145,2125,NA
1914900000,IA,5311,5200,NA
1915100000,IA,1350,1262,NA
1915300000,IA,91954,87339,NA
1915500000,IA,18971,18012,NA
1915700000,IA,4743,4621,NA
1915900000,IA,1054,1035,NA
1916100000,IA,1480,1418,NA
1916300000,IA,43035,41290,NA
1916500000,IA,3187,3093,NA
1916700000,IA,5895,5758,NA
1916900000,IA,21899,21202,NA
1917100000,IA,2645,2572,NA
1917300000,IA,958,939,NA
1917500000,IA,2831,2769,NA
1917700000,IA,930,894,NA
1917900000,IA,6516,6319,NA
1918100000,IA,12733,12251,NA
1918300000,IA,4789,4666,NA
1918500000,IA,1106,1070,NA
1918700000,IA,6839,6570,NA
1918900000,IA,1806,1744,NA
1919100000,IA,6502,6379,NA
1919300000,IA,21146,19949,NA
1919500000,IA,1273,1200,NA
1919700000,IA,2320,2251,NA
1600100000,ID,74560,71985,246
1600300000,ID,535,522,3
1600500000,ID,9489,9402,22
1600700000,ID,392,374,0
1600900000,ID,795,755,5
1601100000,ID,3800,3670,20
1601300000,ID,5429,5253,1
1601500000,ID,826,795,0
1601700000,ID,5700,5440,32
1601900000,ID,11026,10784,52
1602100000,ID,1464,1413,12
1602300000,ID,193,189,0
1602500000,ID,111,107,1
1602700000,ID,16899,16240,13
1602900000,ID,368,368,0
1603100000,ID,1541,1494,0
1603300000,ID,50,50,0
1603500000,ID,689,671,0
1603700000,ID,648,622,1
1603900000,ID,2220,2173,11
1604100000,ID,617,591,5
1604300000,ID,942,903,10
1604500000,ID,2443,2369,24
1604700000,ID,1115,1075,1
1604900000,ID,2025,1978,17
1605100000,ID,1929,1898,6
1605300000,ID,1607,1579,9
1605500000,ID,22523,21143,185
1605700000,ID,5149,5118,14
1605900000,ID,1381,1332,15
1606100000,ID,222,222,0
1606300000,ID,419,409,4
1606500000,ID,2728,2658,32
1606700000,ID,1524,1477,4
1606900000,ID,5800,5555,11
1607100000,ID,346,339,1
1607300000,ID,421,384,12
1607500000,ID,2347,2339,0
1607700000,ID,569,557,3
1607900000,ID,756,747,4
1608100000,ID,2680,2618,6
1608300000,ID,9934,9676,82
1608500000,ID,2000,1934,7
1608700000,ID,1197,1172,5
1714000000,IL,92685,78693,2112
1759000000,IL,7259,6545,111
1765000000,IL,3699,3219,34
1700100000,IL,945,858,8
1700300000,IL,279,191,13
1700500000,IL,244,12,0
1700700000,IL,938,841,18
1700900000,IL,45,43,0
1701100000,IL,708,660,0
1701300000,IL,106,98,3
1701500000,IL,385,356,0
1701700000,IL,265,246,4
1701900000,IL,6770,6200,35
1702100000,IL,727,380,1
1702300000,IL,314,288,0
1702500000,IL,240,214,0
1702700000,IL,535,492,1
1702900000,IL,841,770,0
1703012000,IL,1973,1521,0
1703100000,IL,102217,87987,645
1703300000,IL,230,224,0
1703500000,IL,146,141,2
1703700000,IL,1489,1295,3
1703900000,IL,205,188,0
1704100000,IL,352,341,0
1704300000,IL,30144,26056,619
1704500000,IL,477,462,0
1704700000,IL,105,102,1
1704900000,IL,556,515,4
1705100000,IL,287,277,0
1705300000,IL,331,314,0
1705500000,IL,383,790,0
1705700000,IL,860,821,0
1705900000,IL,131,119,5
1706100000,IL,237,224,0
1706300000,IL,1391,1242,19
1706500000,IL,187,181,3
1706613000,IL,2230,2061,157
1706700000,IL,277,249,8
1706900000,IL,166,160,0
1707100000,IL,191,172,0
1707300000,IL,1418,1307,0
1707500000,IL,603,571,4
1707700000,IL,1187,1046,0
1707900000,IL,0,0,0
1708100000,IL,920,810,16
1708300000,IL,387,359,0
1708500000,IL,606,562,2
1708700000,IL,349,347,0
1708900000,IL,9828,8859,0
1709100000,IL,2091,1773,22
1709300000,IL,1898,1709,61
1709500000,IL,518,454,0
1709700000,IL,38040,31812,723
1709900000,IL,2806,2585,0
1710100000,IL,221,210,5
1710300000,IL,709,659,1
1710500000,IL,629,580,0
1710700000,IL,891,839,7
1710900000,IL,487,441,0
1711100000,IL,6132,4770,194
1711300000,IL,2031,1903,7
1711500000,IL,2061,1768,2
1711700000,IL,1385,1236,43
1711900000,IL,6250,5679,51
1712100000,IL,763,651,23
1712300000,IL,149,141,0
1712500000,IL,267,253,2
1712700000,IL,181,171,1
1712900000,IL,253,242,0
1713100000,IL,423,410,2
1713300000,IL,798,757,6
1713500000,IL,565,526,6
1713700000,IL,455,398,15
1713900000,IL,168,158,0
1714100000,IL,673,607,0
1714300000,IL,955,817,37
1714500000,IL,955,817,37
1714700000,IL,307,288,1
1714900000,IL,239,214,0
1715100000,IL,112,108,0
1715300000,IL,206,184,0
1715500000,IL,105,80,0
1715700000,IL,1108,1024,1
1715900000,IL,343,322,0
1716100000,IL,7927,7580,51
1716300000,IL,9795,7942,372
1716500000,IL,1625,1318,73
1716700000,IL,7783,7023,32
1716900000,IL,4,4,0
1717100000,IL,70,66,0
1717300000,IL,460,437,1
1717500000,IL,117,113,1
1717700000,IL,749,671,78
1717900000,IL,3546,3138,56
1718100000,IL,452,422,2
1718300000,IL,950,890,0
1718500000,IL,176,165,0
