"","Town.Name","C5f","C4a","C1g","C1h","C1f","C5b","C1c","C5a","C5e","C1e","C5o","C5o_Other","C1f_Other","C1g_Other","C1h_Other","C4b","C1a","C1b"
"43","CHARLOTTE",1,927,29,0,0,0,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,961,932
"44","CHELSEA",0,137,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,138,137
"45","CHESTER",0,399,12,0,0,2,0,4,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",7,418,406
"46","CHITTENDEN",3,151,5,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,162,157
"47","CLARENDON",0,251,8,0,1,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,261,252
"48","COLCHESTER",4,3015,48,0,0,5,0,27,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",36,3099,3051
"49","CONCORD",2,124,2,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,129,127
"50","CORINTH",0,149,7,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,158,151
"51","CORNWALL",0,288,5,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,295,290
"52","COVENTRY",0,111,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,117,111
"53","CRAFTSBURY",0,187,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,187,187
"54","DANBY",0,255,19,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,274,255
"55","DANVILLE",3,550,13,0,0,1,0,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,571,558
"56","DERBY",0,673,28,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,704,676
"57","DORSET",2,299,16,0,0,1,0,1,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",5,320,304
"58","DOVER",0,197,1,6,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,204,197
"59","DUMMERSTON",0,431,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,437,431
"60","DUXBURY",0,149,4,0,0,1,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,154,150
"61","EAST HAVEN",0,43,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,45,43
"62","EAST MONTPELIER",0,484,14,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,498,484
"63","EDEN",0,130,4,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,134,130
"64","ELMORE",0,104,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,104,104
"65","ENOSBURGH",2,524,0,172,0,0,1,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,699,526
"66","ESSEX",16,3750,12,0,0,1,0,11,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",29,3791,3779
"67","FAIR HAVEN",0,224,1,0,0,0,0,1,0,12,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,238,237
"68","FAIRFAX",0,587,13,3,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,605,589
"69","FAIRFIELD",0,196,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,197,196
"70","FAIRLEE",0,94,4,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,99,95
"71","FAYSTON",0,260,9,3,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,272,260
"72","FERRISBURGH",0,571,14,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,585,571
"73","FLETCHER",0,221,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,222,221
"74","FRANKLIN",7,155,8,0,0,1,0,0,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",9,172,164
"75","GEORGIA",0,517,14,0,0,0,0,6,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,537,523
"76","GLOVER",0,165,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,171,165
"77","GOSHEN",0,20,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,20,20
"78","GRAFTON",0,100,0,1,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,101,100
"79","GRANBY",0,11,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,11,11
"80","GRAND ISLE",5,358,1,12,0,3,0,2,2,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",12,383,370
"81","GRANVILLE",0,29,6,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,35,29
"82","GREENSBORO",0,144,5,0,1,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,151,145
"83","GROTON",0,93,0,0,0,0,1,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,94,93
"84","GUILDHALL",0,33,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,33,33
"85","GUILFORD",0,343,1,9,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,353,343
"86","HALIFAX",4,92,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,99,96
"87","HANCOCK",0,26,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,26,26
"88","HARDWICK",1,327,15,1,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,345,329
"89","HARTFORD",7,1353,51,10,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,1422,1361
"90","HARTLAND",9,439,1,5,0,1,0,3,4,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",17,462,456
"91","HIGHGATE",0,336,15,0,0,1,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,354,339
"92","HINESBURG",1,1081,16,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,1099,1083
"93","HOLLAND",0,74,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,76,74
"94","HUBBARDTON",0,88,8,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,98,90
"95","HUNTINGTON",0,241,18,3,0,2,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,264,243
"96","HYDE PARK",2,474,5,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,481,476
"97","IRA",0,33,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,33,33
"98","IRASBURG",0,103,0,0,0,1,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,105,105
"99","ISLE LA MOTTE",4,84,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",4,91,88
"100","JAMAICA",0,143,9,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,154,145
"101","JAY",0,55,3,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,58,55
"102","JERICHO",7,1255,27,0,0,3,2,4,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",14,1298,1269
"103","JOHNSON",0,425,7,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,435,428
"104","KILLINGTON",0,163,13,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,178,165
"105","KIRBY",0,41,2,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,44,42
"106","LANDGROVE",0,23,1,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,24,23
"107","LEICESTER",0,88,0,0,0,0,0,1,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,89,89
"108","LEMINGTON",0,5,0,0,1,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,6,5
"109","LINCOLN",1,161,8,0,2,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,174,164
"110","LONDONDERRY",8,214,5,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",8,227,222
"111","LOWELL",0,101,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,101,101
"112","LUDLOW",0,270,16,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,288,272
"113","LUNENBURG",1,86,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",1,87,87
"114","LYNDON",0,491,10,5,0,0,0,5,0,0,1,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,512,497
"115","MAIDSTONE",0,15,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,17,15
"116","MANCHESTER",1,1072,31,0,0,1,0,7,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",9,1112,1081
"117","MARLBORO",0,213,2,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,215,213
"118","MARSHFIELD",0,260,2,0,0,0,0,2,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",2,264,262
"119","MENDON",6,158,0,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",6,164,164
"120","MIDDLEBURY",25,1677,49,0,0,1,0,8,1,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",35,1761,1712
"121","MIDDLESEX",0,522,15,0,0,0,0,3,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",3,540,525
"122","MIDDLETOWN SPRINGS",0,66,0,19,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,85,66
"123","MILTON",11,2133,58,0,0,1,0,14,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",26,2217,2159
"124","MONKTON",0,281,0,13,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,294,281
"125","MONTGOMERY",0,213,25,0,0,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,238,213
"126","MONTPELIER",9,1933,38,2,1,1,0,11,2,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",23,1997,1956
"127","MORETOWN",0,373,9,1,1,0,0,0,0,0,0,"DEFECTIVE_NO CHALLENGE RESPONSE RECEIVED","OTHER","NEVER RETURNED_NEVER RECEIVED BY CLERK","ISSUED",0,384,373
