"","population","transmitted","submitted","rejected","pr2","pr3","State","FIPSCode"
"66",2080,348,350,2,1.00574712643678,0.00571428571428571,"CT",9005
"67",12058,672,677,5,1.00744047619048,0.00738552437223043,"CT",9005
"68",2321,236,238,2,1.00847457627119,0.00840336134453781,"CT",9007
"69",7861,589,608,19,1.03225806451613,0.03125,"CT",9007
"70",7832,627,633,6,1.00956937799043,0.00947867298578199,"CT",9007
"71",2655,182,185,3,1.01648351648352,0.0162162162162162,"CT",9007
"72",4394,354,357,3,1.00847457627119,0.00840336134453781,"CT",9007
"73",5176,370,377,7,1.01891891891892,0.0185676392572944,"CT",9007
"74",7385,433,441,8,1.01847575057737,0.018140589569161,"CT",9007
"75",4184,469,480,11,1.02345415778252,0.0229166666666667,"CT",9007
"76",5062,369,374,5,1.01355013550135,0.0133689839572193,"CT",9007
"77",4070,404,410,6,1.01485148514851,0.0146341463414634,"CT",9007
"78",2648,205,206,1,1.00487804878049,0.00485436893203883,"CT",9007
"79",21654,1545,1577,32,1.02071197411003,0.020291693088142,"CT",9007
"80",6369,777,783,6,1.00772200772201,0.00766283524904215,"CT",9007
"81",5377,526,536,10,1.01901140684411,0.0186567164179104,"CT",9007
"82",3990,305,307,2,1.00655737704918,0.00651465798045603,"CT",9007
"83",7619,349,351,2,1.00573065902579,0.0056980056980057,"CT",9009
"84",3397,197,198,1,1.00507614213198,0.00505050505050505,"CT",9009
"85",3492,255,256,1,1.00392156862745,0.00390625,"CT",9009
"86",15901,1329,1346,17,1.01279157261099,0.012630014858841,"CT",9009
"87",14980,725,765,40,1.0551724137931,0.0522875816993464,"CT",9009
"88",5286,300,302,2,1.00666666666667,0.00662251655629139,"CT",9009
"89",12805,822,841,19,1.02311435523114,0.0225921521997622,"CT",9009
"90",13622,1441,1458,17,1.0117973629424,0.0116598079561043,"CT",9009
"91",27646,1950,1988,38,1.01948717948718,0.0191146881287726,"CT",9009
"92",11179,1377,1396,19,1.01379811183733,0.0136103151862464,"CT",9009
"93",22750,1337,1347,10,1.0074794315632,0.00742390497401633,"CT",9009
"94",4558,411,419,8,1.01946472019465,0.0190930787589499,"CT",9009
"95",28489,2037,2082,45,1.0220913107511,0.0216138328530259,"CT",9009
"96",13428,658,668,10,1.01519756838906,0.0149700598802395,"CT",9009
"97",42444,2483,2564,81,1.03262182843335,0.031591263650546,"CT",9009
"98",7740,524,532,8,1.01526717557252,0.0150375939849624,"CT",9009
"99",8498,854,861,7,1.00819672131148,0.00813008130081301,"CT",9009
"100",5550,343,351,8,1.02332361516035,0.0227920227920228,"CT",9009
"101",8620,472,474,2,1.00423728813559,0.00421940928270042,"CT",9009
"102",11756,1244,1277,33,1.02652733118971,0.0258418167580266,"CT",9009
"103",22979,2002,2225,223,1.11138861138861,0.100224719101124,"CT",9009
"104",34212,1921,1956,35,1.01821967725143,0.0178936605316973,"CT",9009
"105",21886,1435,1510,75,1.05226480836237,0.0496688741721854,"CT",9009
"106",9182,500,510,10,1.02,0.0196078431372549,"CT",9009
"107",5454,718,722,4,1.00557103064067,0.00554016620498615,"CT",9009
"108",1400,76,77,1,1.01315789473684,0.012987012987013,"CT",9011
"109",8561,672,676,4,1.00595238095238,0.00591715976331361,"CT",9011
"110",10502,1071,1096,25,1.02334267040149,0.0228102189781022,"CT",9011
"111",5356,183,185,2,1.01092896174863,0.0108108108108108,"CT",9011
"112",15596,1434,1456,22,1.01534170153417,0.0151098901098901,"CT",9011
"113",4025,257,260,3,1.01167315175097,0.0115384615384615,"CT",9011
"114",7376,482,490,8,1.01659751037344,0.0163265306122449,"CT",9011
"115",1748,166,171,5,1.03012048192771,0.0292397660818713,"CT",9011
"116",8083,415,430,15,1.03614457831325,0.0348837209302326,"CT",9011
"117",8961,541,548,7,1.01293900184843,0.0127737226277372,"CT",9011
"118",4781,640,648,8,1.0125,0.0123456790123457,"CT",9011
"119",2384,170,171,1,1.00588235294118,0.00584795321637427,"CT",9011
"120",1613,71,73,2,1.02816901408451,0.0273972602739726,"CT",9011
"121",10375,1018,1023,5,1.0049115913556,0.00488758553274682,"CT",9011
"122",10845,836,846,10,1.01196172248804,0.0118203309692671,"CT",9011
"123",1948,91,93,2,1.02197802197802,0.021505376344086,"CT",9013
"124",3054,153,157,4,1.02614379084967,0.0254777070063694,"CT",9013
"125",8372,441,451,10,1.02267573696145,0.0221729490022173,"CT",9013
"126",5609,465,468,3,1.00645161290323,0.00641025641025641,"CT",9013
"127",11547,662,674,12,1.01812688821752,0.0178041543026706,"CT",9013
"128",5694,439,452,13,1.02961275626424,0.0287610619469027,"CT",9013
"129",6116,388,394,6,1.01546391752577,0.0152284263959391,"CT",9013
"130",8636,531,538,7,1.01318267419962,0.0130111524163569,"CT",9013
"131",510,20,21,1,1.05,0.0476190476190476,"CT",9013
"132",13736,751,763,12,1.01597869507324,0.0157273918741809,"CT",9013
"133",2554,131,134,3,1.02290076335878,0.0223880597014925,"CT",9015
"134",3782,231,242,11,1.04761904761905,0.0454545454545455,"CT",9015
"135",2763,135,137,2,1.01481481481481,0.0145985401459854,"CT",9015
"136",1160,32,33,1,1.03125,0.0303030303030303,"CT",9015
"137",7001,396,403,7,1.01767676767677,0.0173697270471464,"CT",9015
"138",2502,172,174,2,1.01162790697674,0.0114942528735632,"CT",9015
"139",3688,175,179,4,1.02285714285714,0.0223463687150838,"CT",9015
"140",1710,55,57,2,1.03636363636364,0.0350877192982456,"CT",9015
"141",4666,233,246,13,1.05579399141631,0.0528455284552846,"CT",9015
"142",4570,380,386,6,1.01578947368421,0.0155440414507772,"CT",9015
"143",66021,27863,29289,240,1.05117898288052,0.00819420260165933,"HI",15001
"144",18334,383,790,0,2.06266318537859,0,"IL",17055
"145",8912,667,676,0,1.01349325337331,0,"MS",28027
"146",2190,238,254,0,1.0672268907563,0,"MS",28125
"147",1448,211,216,0,1.02369668246445,0,"SD",46003
"148",2380,576,589,13,1.02256944444444,0.0220713073005093,"SD",46015
"149",1734,202,203,2,1.0049504950495,0.00985221674876847,"SD",46041
"150",572,104,105,1,1.00961538461538,0.00952380952380952,"SD",46075
"151",12123,5003,5069,12,1.01319208474915,0.00236733083448412,"SD",46081
"152",4238,586,588,2,1.00341296928328,0.00340136054421769,"SD",46109
"153",2099,1373,87,112,0.0633648943918427,1.28735632183908,"TX",48377
"154",3291,370,2093,14,5.65675675675676,0.00668896321070234,"TX",48389
