ID,FIPS,STATE,LABEL,10Total_registered_x,10Notices_removed_x,12Total_registered_x,12Notices_removed_x,14Total_registered_x,14Notices_removed_x,16Total_registered_x,16Notices_removed_x,18Total_registered_x,18Notices_removed_x,10pct,12pct,14pct,16pct,18pct,median_pct,median_desc,mean_pct,mean_desc,Total_pop,Urban,Rural,POP_DESC,Pop_25+,Pct_colgrads,Pop_birth,Pct_foreign-born,Pop_16+,Unemployed,Households,Median household income,Income_desc,Pct_poverty,Emp_pop_16+,Top_occupation_pct,Top_occupation,Tot_racepop,White,Pct_White,Nonwhite,Pct_Nonwhite,Nonwhite_desc,Hispanic,Pct_Hispanic,Black,Pct_Black,Native,Pct_Native,Asian,Pct_Asian,Hawaiian_Pacific Islander,Pct_Hawaiian_Pacific Islander,Other,Pct_other,Multi,Pct_multi,VOTING AGE,VOTING AGE_Male,Pct_VOTING AGE_Male,VOTING AGE_Female,Pct_VOTING AGE_Female,Region,Division,total_2016,gop_2016,dem_2016,oth_2016,WINNER
11,01021,AL,"Chilton County, Alabama",26500,6,27922,2,26341,2162,28579,,28694,473,0.022636384,0.007162298,7.585166474,0,1.621695752,0.022636384,Less than 1%,1.847332182,1% - 5%,43643,5785,37858,Rural,29735,14.9,43817,5.6,34490,7.9,16619,42594,"$35,000 - $50,000",20.3,17627,26.3,"Management, business, science, and arts",43817,35321,80.6,8496,19.4,10% - 25%,3341,7.6,4386,10,134,0.3,191,0.4,0,0,37,0.1,407,0.9,31557,15281,48.4,16276,51.6,South Region,East South Central Division,18255,15068,2909,278,Rep
12,01023,AL,"Choctaw County, Alabama",10813,324,10988,,10751,284,10990,,10886,335,2.909221514,0,2.573629361,0,2.985473665,2.573629361,1% - 5%,1.693664908,1% - 5%,13859,0,13859,Rural,9448,12,13287,0.2,10859,13.6,5562,32622,"Less than $35,000",21,4260,25.4,"Management, business, science, and arts",13287,7468,56.2,5819,43.8,More than 25%,74,0.6,5611,42.2,2,0,6,0,0,0,2,0,124,0.9,10516,4922,46.8,5594,53.2,South Region,East South Central Division,7268,4102,3109,57,Rep
13,01025,AL,"Clarke County, Alabama",18101,657,19237,1,18860,774,19400,,19542,240,3.502505598,0.005198046,3.942141184,0,1.213224143,1.213224143,1% - 5%,1.732613794,1% - 5%,25833,6205,19628,Rural,17022,12.1,24847,0.5,20008,17.1,9554,32735,"Less than $35,000",24.6,8159,27.7,"Production, transportation, and material moving",24847,13213,53.2,11634,46.8,More than 25%,43,0.2,11304,45.5,8,0,114,0.5,33,0.1,0,0,132,0.5,19194,8942,46.6,10252,53.4,South Region,East South Central Division,12936,7109,5712,115,Rep
14,01027,AL,"Clay County, Alabama",10087,147,10488,1,9728,671,10204,,10067,447,1.436388509,0.009533797,6.452543514,0,4.251474225,1.436388509,1% - 5%,2.429988009,1% - 5%,13932,0,13932,Rural,9446,11.1,13483,1.9,10948,6.6,5363,38815,"$35,000 - $50,000",16.7,5470,30.9,"Production, transportation, and material moving",13483,10822,80.3,2661,19.7,10% - 25%,419,3.1,1988,14.7,119,0.9,0,0,0,0,25,0.2,110,0.8,10362,4961,47.9,5401,52.1,South Region,East South Central Division,6572,5230,1234,108,Rep
15,01029,AL,"Cleburne County, Alabama",9305,3,9985,2,9793,537,10845,,10929,324,0.032230339,0.020026034,5.198451113,0,2.879232205,0.032230339,Less than 1%,1.625987938,1% - 5%,14972,0,14972,Rural,10366,11.5,14991,1.7,11826,7.2,5834,36316,"$35,000 - $50,000",19.6,5823,25.8,"Management, business, science, and arts",14991,13911,92.8,1080,7.2,5% - 9.9%,349,2.3,354,2.4,21,0.1,86,0.6,0,0,0,0,270,1.8,11294,5473,48.5,5821,51.5,South Region,East South Central Division,6532,5738,684,110,Rep
16,01031,AL,"Coffee County, Alabama",29343,14,31555,13,29351,2652,33524,,34121,790,0.047688797,0.041180943,8.28672312,0,2.262897081,0.047688797,Less than 1%,2.127697988,1% - 5%,49948,26375,23573,Urban,34614,23.7,50991,3.7,40283,6.2,19375,47872,"$35,000 - $50,000",16.4,21353,31.5,"Management, business, science, and arts",50991,36393,71.4,14598,28.6,More than 25%,3344,6.6,8671,17,421,0.8,623,1.2,0,0,5,0,1534,3,37955,18560,48.9,19395,51.1,South Region,East South Central Division,20513,15825,4194,494,Rep
17,01033,AL,"Colbert County, Alabama",35256,0,36725,,34378,2814,38334,0,40780,496,0,0,7.566143257,0,1.201666828,0,Less than 1%,1.753562017,1% - 5%,54428,30537,23891,Urban,38271,18.5,54377,1.6,44173,7.5,22105,43786,"$35,000 - $50,000",16.5,22056,27.4,"Management, business, science, and arts",54377,42878,78.9,11499,21.1,10% - 25%,1306,2.4,8509,15.6,328,0.6,231,0.4,31,0.1,30,0.1,1064,2,42234,19916,47.2,22318,52.8,South Region,East South Central Division,24626,16718,7296,612,Rep
18,01035,AL,"Conecuh County, Alabama",10100,524,10658,1,10142,604,10488,,10381,101,4.932228916,0.009381743,5.620696073,0,0.963556573,0.963556573,Less than 1%,2.305172661,1% - 5%,13228,2520,10708,Rural,8808,8.7,12697,0.9,10143,20.4,5090,27609,"Less than $35,000",32.5,3794,28.7,"Production, transportation, and material moving",12697,6440,50.7,6257,49.3,More than 25%,224,1.8,5868,46.2,19,0.1,14,0.1,0,0,1,0,131,1,9823,4682,47.7,5141,52.3,South Region,East South Central Division,6543,3413,3069,61,Rep
19,01037,AL,"Coosa County, Alabama",8175,0,8274,,7847,574,8123,,8219,82,0,0,6.816292602,0,0.987832791,0,Less than 1%,1.560825079,1% - 5%,11539,0,11539,Rural,7907,9.9,10864,1.3,9132,12.6,4206,31910,"Less than $35,000",15.3,3747,27.5,"Production, transportation, and material moving",10864,7064,65,3800,35,More than 25%,140,1.3,3516,32.4,8,0.1,0,0,0,0,0,0,136,1.3,8756,4426,50.5,4330,49.5,South Region,East South Central Division,5223,3376,1780,67,Rep
20,01039,AL,"Covington County, Alabama",21649,716,23401,,22255,1403,25347,,26829,288,3.201430807,0,5.930340688,0,1.062064388,1.062064388,1% - 5%,2.038767177,1% - 5%,37765,11461,26304,Rural,26492,14.9,37729,1,30393,10.7,15179,37313,"$35,000 - $50,000",19,14441,27.9,"Management, business, science, and arts",37729,31509,83.5,6220,16.5,10% - 25%,578,1.5,4896,13,130,0.3,176,0.5,23,0.1,3,0,414,1.1,29297,13876,47.4,15421,52.6,South Region,East South Central Division,15818,13222,2379,217,Rep
21,01041,AL,"Crenshaw County, Alabama",9289,247,9735,,9581,548,9958,,10340,121,2.590184564,0,5.410208313,0,1.156677182,1.156677182,1% - 5%,1.831414012,1% - 5%,13906,0,13906,Rural,9551,14.6,13896,2.3,11111,7.4,5426,37557,"$35,000 - $50,000",18.2,5693,26,"Management, business, science, and arts",13896,9848,70.9,4048,29.1,More than 25%,234,1.7,3290,23.7,123,0.9,232,1.7,0,0,55,0.4,114,0.8,10536,5004,47.5,5532,52.5,South Region,East South Central Division,6252,4511,1663,78,Rep
22,01043,AL,"Cullman County, Alabama",49766,1775,52201,1,50196,2700,55908,,58302,1009,3.443860228,0.001915635,5.104355717,0,1.701202138,1.701202138,1% - 5%,2.050266744,1% - 5%,80406,21517,58889,Rural,56323,15,81316,2.8,65220,6.1,31081,39297,"$35,000 - $50,000",17.1,32232,28.4,"Management, business, science, and arts",81316,75188,92.5,6128,7.5,5% - 9.9%,3426,4.2,843,1,425,0.5,497,0.6,15,0,63,0.1,859,1.1,61623,30060,48.8,31563,51.2,South Region,East South Central Division,37278,32734,3730,814,Rep
23,01045,AL,"Dale County, Alabama",29641,1,32006,,28044,4560,31420,,33017,597,0.003373592,0,13.98601399,0,1.776045695,0.003373592,Less than 1%,3.153086655,1% - 5%,50251,24679,25572,Rural,33363,16.1,49607,2.7,39338,10.4,18794,44093,"$35,000 - $50,000",20.5,18495,27.7,"Management, business, science, and arts",49607,34820,70.2,14787,29.8,More than 25%,2921,5.9,9625,19.4,286,0.6,508,1,11,0,77,0.2,1359,2.7,37406,18360,49.1,19046,50.9,South Region,East South Central Division,18617,13798,4408,411,Rep
24,01047,AL,"Dallas County, Alabama",31553,30,33009,6,31105,1811,32530,,31886,1107,0.09498781,0.018173557,5.501883582,0,3.355257176,0.09498781,Less than 1%,1.794060425,1% - 5%,43820,23821,19999,Urban,27038,13.8,41426,1.5,32190,14.9,16099,28136,"Less than $35,000",34.3,14379,26.6,"Management, business, science, and arts",41426,11628,28.1,29798,71.9,More than 25%,397,1,28790,69.5,91,0.2,163,0.4,24,0.1,0,0,333,0.8,30613,13623,44.5,16990,55.5,South Region,East South Central Division,18730,5784,12826,120,Dem
25,01049,AL,"DeKalb County, Alabama",36665,1980,38223,7,36658,1978,40824,,42123,1230,5.123560616,0.018310228,5.119577596,0,2.837173898,2.837173898,1% - 5%,2.619724467,1% - 5%,71109,7018,64091,Rural,47440,11.4,70937,7.3,55542,6.3,24811,38248,"$35,000 - $50,000",19.8,27980,28,"Production, transportation, and material moving",70937,57470,81,13467,19,10% - 25%,9942,14,1048,1.5,912,1.3,214,0.3,70,0.1,8,0,1273,1.8,49580,23815,48,25765,52,South Region,East South Central Division,26086,21779,3682,625,Rep
26,01051,AL,"Elmore County, Alabama",44256,1199,48864,2,47106,2484,54061,,56404,731,2.637773622,0.004092825,5.00907441,0,1.279425921,1.279425921,1% - 5%,1.786073356,1% - 5%,79303,36330,42973,Rural,54950,22.2,80957,2,64703,7.5,28890,53398,"$50,001 - $75,000",14.3,33355,33.7,"Management, business, science, and arts",80957,59656,73.7,21301,26.3,More than 25%,2268,2.8,17092,21.1,164,0.2,457,0.6,0,0,100,0.1,1220,1.5,61483,29421,47.9,32062,52.1,South Region,East South Central Division,36905,27619,8436,850,Rep
27,01053,AL,"Escambia County, Alabama",21248,1358,22968,,21844,1390,24374,,25690,377,6.007254711,0,5.98261169,0,1.446273066,1.446273066,1% - 5%,2.687227893,1% - 5%,38319,13982,24337,Rural,25762,11.6,37875,0.7,30358,15.2,13536,32334,"Less than $35,000",25.2,11977,24,Sales and office,37875,22950,60.6,14925,39.4,More than 25%,780,2.1,12245,32.3,1313,3.5,40,0.1,67,0.2,27,0.1,453,1.2,29331,15194,51.8,14137,48.2,South Region,East South Central Division,15213,10282,4698,233,Rep
28,01055,AL,"Etowah County, Alabama",62917,16,65975,1,61826,4923,69355,,72371,1209,0.025423863,0.001515703,7.375391392,0,1.643109541,0.025423863,Less than 1%,1.8090881,1% - 5%,104430,65286,39144,Urban,71696,16.5,103363,2.9,83436,8.5,39522,40478,"$35,000 - $50,000",18.4,41540,28.6,"Management, business, science, and arts",103363,81069,78.4,22294,21.6,10% - 25%,3752,3.6,15799,15.3,414,0.4,699,0.7,67,0.1,94,0.1,1469,1.4,78779,37234,47.3,41545,52.7,South Region,East South Central Division,43474,32132,10350,992,Rep
29,01057,AL,"Fayette County, Alabama",11080,0,11482,2,11451,823,12155,,12759,102,0,0.017415535,6.705230569,0,0.793095405,0.017415535,Less than 1%,1.503148302,1% - 5%,17241,3408,13833,Rural,11806,14.1,16783,0.6,13696,8.8,6850,36205,"$35,000 - $50,000",17.3,6217,26.8,"Management, business, science, and arts",16783,14304,85.2,2479,14.8,10% - 25%,144,0.9,2054,12.2,0,0,45,0.3,0,0,0,0,236,1.4,13153,6392,48.6,6761,51.4,South Region,East South Central Division,8196,6705,1358,133,Rep
30,01059,AL,"Franklin County, Alabama",21157,7,20780,1,17141,3771,19001,,18631,1048,0.033075033,0.004812088,18.03270849,0,5.325473855,0.033075033,Less than 1%,4.679213894,1% - 5%,31704,9395,22309,Rural,20928,12.4,31573,8.9,24674,9.7,11697,36138,"$35,000 - $50,000",22.3,12298,28.8,"Production, transportation, and material moving",31573,24650,78.1,6923,21.9,10% - 25%,5057,16,1282,4.1,234,0.7,102,0.3,18,0.1,22,0.1,208,0.7,21934,10581,48.2,11353,51.8,South Region,East South Central Division,11955,9466,2197,292,Rep
31,01061,AL,"Geneva County, Alabama",16005,454,16856,2,16218,1000,17935,,18716,275,2.758369281,0.011863804,5.807875479,0,1.448054342,1.448054342,1% - 5%,2.005232581,1% - 5%,26790,2775,24015,Rural,18805,11.7,26765,1.7,21542,10.3,10657,36519,"$35,000 - $50,000",22.8,10216,24.5,"Management, business, science, and arts",26765,22499,84.1,4266,15.9,10% - 25%,992,3.7,2522,9.4,126,0.5,103,0.4,0,0,0,0,523,2,20517,9869,48.1,10648,51.9,South Region,East South Central Division,11659,9967,1522,170,Rep
32,01063,AL,"Greene County, Alabama",7716,1,7713,,7367,407,7322,,7117,57,0.012958404,0,5.235400051,0,0.794535824,0.012958404,Less than 1%,1.208578856,1% - 5%,9045,0,9045,Rural,5965,10,8587,0.3,6787,18.2,3107,21339,"Less than $35,000",37.9,2349,26,"Production, transportation, and material moving",8587,1472,17.1,7115,82.9,More than 25%,53,0.6,6971,81.2,35,0.4,14,0.2,0,0,0,0,42,0.5,6595,3058,46.4,3537,53.6,South Region,East South Central Division,4862,838,4006,18,Dem
33,01065,AL,"Hale County, Alabama",12204,38,12851,,12097,840,12432,,12298,94,0.310406796,0,6.493004561,0,0.758553906,0.310406796,Less than 1%,1.512393053,1% - 5%,15760,1707,14053,Rural,10229,14,15159,1,12072,12.1,5948,33351,"Less than $35,000",25.9,5039,26.3,"Management, business, science, and arts",15159,6059,40,9100,60,More than 25%,183,1.2,8835,58.3,49,0.3,16,0.1,9,0.1,0,0,8,0.1,11566,5321,46,6245,54,South Region,East South Central Division,8010,3172,4772,66,Dem
34,01067,AL,"Henry County, Alabama",11645,0,12394,,11930,520,12761,,13169,150,0,0,4.176706827,0,1.126210676,0,Less than 1%,1.060583501,1% - 5%,17302,2119,15183,Rural,12221,16.1,17187,1.7,14007,7.5,6831,41045,"$35,000 - $50,000",15.3,7049,32.1,"Management, business, science, and arts",17187,11784,68.6,5403,31.4,More than 25%,435,2.5,4793,27.9,0,0,0,0,0,0,0,0,175,1,13336,6276,47.1,7060,52.9,South Region,East South Central Division,8017,5623,2286,108,Rep
35,01069,AL,"Houston County, Alabama",61550,14,65611,4,60542,6939,69602,,74554,760,0.022740563,0.006096167,10.28289444,0,1.009108532,0.022740563,Less than 1%,2.264167941,1% - 5%,101547,67220,34327,Urban,70773,21,103891,2.3,82090,8.1,39363,41945,"$35,000 - $50,000",18.9,43805,31.2,"Management, business, science, and arts",103891,70077,67.5,33814,32.5,More than 25%,3311,3.2,27401,26.4,355,0.3,853,0.8,20,0,129,0.1,1745,1.7,78086,36401,46.6,41685,53.4,South Region,East South Central Division,42030,30567,10547,916,Rep
36,01071,AL,"Jackson County, Alabama",34208,982,35985,,34709,1883,36977,,37767,516,2.790565502,0,5.145933537,0,1.347856751,1.347856751,1% - 5%,1.856871158,1% - 5%,53227,12233,40994,Rural,37119,12.6,52608,2.3,42714,8.6,19945,38422,"$35,000 - $50,000",18.8,20965,28.2,"Production, transportation, and material moving",52608,47080,89.5,5528,10.5,10% - 25%,1435,2.7,1733,3.3,406,0.8,196,0.4,21,0,130,0.2,1607,3.1,40732,19726,48.4,21006,51.6,South Region,East South Central Division,20785,16643,3663,479,Rep
37,01073,AL,"Jefferson County, Alabama",414222,23391,435704,2,411088,2,456895,,480982,5573,5.345133714,0.000459025,0.000486511,0,1.145399801,0.000486511,Less than 1%,1.29829581,1% - 5%,658472,593714,64752,Urban,446097,31.4,659096,3.9,523961,8.2,261773,47220,"$35,000 - $50,000",18.1,297470,38.6,"Management, business, science, and arts",659096,333970,50.7,325126,49.3,More than 25%,24316,3.7,279059,42.3,1148,0.2,9909,1.5,174,0,1530,0.2,8990,1.4,491015,225651,46,265364,54,South Region,East South Central Division,290111,130614,151581,7916,Dem
38,01075,AL,"Lamar County, Alabama",10329,564,10930,,10519,623,10899,,10914,123,5.177637015,0,5.591455753,0,1.11443327,1.11443327,1% - 5%,2.376705208,1% - 5%,14564,0,14564,Rural,9998,13.1,14066,0.8,11425,9.5,6010,34298,"Less than $35,000",23.9,5148,26.8,"Management, business, science, and arts",14066,12116,86.1,1950,13.9,10% - 25%,201,1.4,1584,11.3,42,0.3,0,0,0,0,79,0.6,44,0.3,10962,5246,47.9,5716,52.1,South Region,East South Central Division,6931,5819,1035,77,Rep
39,01077,AL,"Lauderdale County, Alabama",51936,3128,55723,,53562,3504,60540,,63719,707,5.680662502,0,6.140258648,0,1.097383044,1.097383044,1% - 5%,2.583660839,1% - 5%,92709,47008,45701,Urban,63148,21.7,92641,2.1,75978,7.6,38361,43657,"$35,000 - $50,000",18.3,39275,29.8,"Management, business, science, and arts",92641,78737,85,13904,15,10% - 25%,2217,2.4,9045,9.8,371,0.4,629,0.7,15,0,173,0.2,1454,1.6,72736,34329,47.2,38407,52.8,South Region,East South Central Division,38813,27735,9877,1201,Rep
40,01079,AL,"Lawrence County, Alabama",23071,4,23506,2,22088,1912,23477,,24452,268,0.017334778,0.008507742,7.966666667,0,1.084142395,0.017334778,Less than 1%,1.815330316,1% - 5%,34339,2991,31348,Rural,23427,10.3,33433,0.7,26887,8.3,13321,42339,"$35,000 - $50,000",18.3,12625,27.6,"Production, transportation, and material moving",33433,25629,76.7,7804,23.3,10% - 25%,691,2.1,3800,11.4,1653,4.9,31,0.1,0,0,0,0,1629,4.9,25993,12606,48.5,13387,51.5,South Region,East South Central Division,14623,10732,3611,280,Rep
41,01081,AL,"Lee County, Alabama",87035,29,97401,,86422,13006,103424,,112125,1883,0.03330883,0,13.0808223,0,1.651638482,0.03330883,Less than 1%,2.953153923,1% - 5%,140251,101806,38441,Urban,90099,34.4,153947,5.2,124252,6.1,57901,45056,"$35,000 - $50,000",23,70851,40.4,"Management, business, science, and arts",153947,104480,67.9,49467,32.1,More than 25%,5681,3.7,35541,23.1,178,0.1,5469,3.6,11,0,421,0.3,2166,1.4,115344,56117,48.7,59227,51.3,South Region,East South Central Division,57668,34321,20987,2360,Rep
42,01083,AL,"Limestone County, Alabama",45403,1514,50034,1,49759,1732,58229,,63148,956,3.226975297,0.001998601,3.363694626,0,1.491326594,1.491326594,1% - 5%,1.616799024,1% - 5%,82782,35092,47690,Rural,62036,23.3,90257,4.3,71743,7.9,32073,51115,"$50,001 - $75,000",14.1,38289,34,"Management, business, science, and arts",90257,69892,77.4,20365,22.6,10% - 25%,5135,5.7,11440,12.7,527,0.6,1113,1.2,12,0,125,0.1,2013,2.2,67249,33446,49.7,33803,50.3,South Region,East South Central Division,39400,28824,9340,1236,Rep
43,01085,AL,"Lowndes County, Alabama",10249,294,10690,,10298,348,10461,,10282,153,2.788580101,0,3.268833365,0,1.466219454,1.466219454,1% - 5%,1.504726584,1% - 5%,11299,0,11299,Rural,7165,12.3,10565,0.3,8312,12.3,4238,27914,"Less than $35,000",28.7,3562,30.2,"Production, transportation, and material moving",10565,2578,24.4,7987,75.6,More than 25%,50,0.5,7886,74.6,8,0.1,0,0,0,0,0,0,43,0.4,8098,3776,46.6,4322,53.4,South Region,East South Central Division,6676,1751,4882,43,Dem
44,01087,AL,"Macon County, Alabama",17947,4,19373,,17692,2018,18504,,17670,166,0.022282881,0,10.23845764,0,0.930701951,0.022282881,Less than 1%,2.238288494,1% - 5%,21452,9536,11916,Rural,12414,20,19684,1.1,16573,15,7915,32390,"Less than $35,000",25.5,7594,29,"Management, business, science, and arts",19684,3036,15.4,16648,84.6,More than 25%,324,1.6,16049,81.5,56,0.3,44,0.2,0,0,65,0.3,110,0.6,16035,7230,45.1,8805,54.9,South Region,East South Central Division,8748,1394,7237,117,Dem
45,01089,AL,"Madison County, Alabama",213274,3034,233838,1,231445,5965,262751,,268929,14757,1.402629584,0.000427645,2.512531064,0,5.201878133,1.402629584,1% - 5%,1.823493285,1% - 5%,334811,279763,55048,Urban,236871,40.7,349973,5.6,280472,7.3,139949,60150,"$50,001 - $75,000",13.3,167515,46.1,"Management, business, science, and arts",349973,228991,65.4,120982,34.6,More than 25%,16362,4.7,83934,24,1925,0.6,8528,2.4,322,0.1,738,0.2,9173,2.6,261509,126040,48.2,135469,51.8,South Region,East South Central Division,159473,89199,62435,7839,Rep
46,01091,AL,"Marengo County, Alabama",15328,10,16216,1,16140,7,16507,,16187,178,0.065197549,0.006166369,0.043351706,0,1.087687137,0.043351706,Less than 1%,0.240480552,Less than 1%,21027,6452,14575,Rural,13679,14.8,20066,0.9,16032,14.1,8149,30713,"Less than $35,000",27.8,6636,26.7,"Management, business, science, and arts",20066,9120,45.5,10946,54.5,More than 25%,190,0.9,10587,52.8,50,0.2,43,0.2,0,0,7,0,69,0.3,15308,7073,46.2,8235,53.8,South Region,East South Central Division,10948,5224,5607,117,Dem
47,01093,AL,"Marion County, Alabama",18956,1046,19715,3,18690,1362,20342,,20968,319,5.229477052,0.015214525,6.792339916,0,1.498567201,1.498567201,1% - 5%,2.707119739,1% - 5%,30776,3430,27346,Rural,21538,12.5,30239,1.6,24596,7.6,12486,34074,"Less than $35,000",18.6,11749,25.7,"Management, business, science, and arts",30239,27834,92,2405,8,5% - 9.9%,726,2.4,982,3.2,115,0.4,98,0.3,0,0,0,0,484,1.6,23725,11592,48.9,12133,51.1,South Region,East South Central Division,12912,11273,1432,207,Rep
